nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg nojo jaya ciragil,4.2,113,-6.2374415,106.8093958,"jl. cikatomas no.12, rt.5/rw.1, rw. bar., kota jakarta selatan",ChIJSfF6m13xaS4RA4-iuuueqIg,0
warteg bahari,4.3,8,-6.243084899999999,106.8036004,"rt.5/rw.2, melawai, kota jakarta selatan",ChIJnR10wNHxaS4RW1jJIolVFBg,0
warteg nurul jaya,5,1,-6.237932799999999,106.8092399,"jl. ciragil ii no.14, rt.4/rw.1, rw. bar., kota jakarta selatan",ChIJlSx6gV3xaS4RX63CdU-RK_c,0
warteg sari rasa bahari,4.8,4,-6.241202700000001,106.8086271,"15, rt.15/rw.6, petogogan, kota jakarta selatan",ChIJfcQt7GfxaS4RQPODRu1FWH8,0
warteg indah jaya,5,2,-6.241308699999999,106.8084911,"jl. cililin no.12a, rt.15/rw.6, petogogan, kota jakarta selatan",ChIJOQgwUWbxaS4RlO0bjH5s4kA,0
warteg sajny,0,0,-6.241383,106.805117,"rt3, jl. tirtayasa v no.5, rt.3/rw.2, melawai, kota jakarta selatan",ChIJezPy70LxaS4RpgoJ3loY8JY,0
warteg jaya,3,1,-6.237504,106.814933,"#, jl. birah ii no.4, rt.6/rw.6, rw. bar., kota jakarta selatan",ChIJy_TP0l_xaS4RN33VNof7puc,0
warteg gaspoll,4.6,37,-6.23992,106.811888,"santa modern market, lantai 2 no. 171-172, rt.5/rw.4, petogogan, kota jakarta selatan",ChIJox4BmHnxaS4R391rlmpggsA,0
warteg slawiayu,5,1,-6.236124299999999,106.8157183,"blok s, jl. senayan, rt.5/rw.6, rw. bar., kota jakarta selatan",ChIJxxTspF_xaS4RSg0lD1RiMWA,0
warteg 88a jaya,4,13,-6.238967,106.813477,"rt.1/rw.4, petogogan, south jakarta city",ChIJ-VtAlWDxaS4Rufkfpv684fU,0
warteg jaya lap blok s,5,1,-6.2374823,106.8148214,"jl. birah ii no.4, rt.6/rw.6, rw. bar., kota jakarta selatan",ChIJqWOhLV7xaS4RDvGBcds4JAw,0
warteg bahari,4.5,12,-6.2355784,106.842835,"jl. masjid an nur no.24a, rt.4/rw.2, menteng dalam, kota jakarta selatan",ChIJlXALPpXzaS4RrjkhZxIhv9I,0
warteg kharisma,4.2,18,-6.239914,106.84741,"jl. tebet barat dalam vii no.5 a, rt.9/rw.6, tebet bar., kota jakarta selatan",ChIJ677FKbzzaS4RXgH8C4vnh9k,0
warteg rasamala,4,104,-6.2361868,106.8402147,"jl. rasamala raya no.24, rt.9/rw.2, menteng dalam, kota jakarta selatan",ChIJ802RvurzaS4Rx2pin99rm7A,0
warteg podomoro 3,5,1,-6.2321442,106.8441351,"jalan merpati 3 no.26, rt.1/rw.3, menteng dalam, kota jakarta selatan",ChIJBzn-f5PzaS4R17_-nsHYGso,0
warteg cahaya baru,4.9,7,-6.235236,106.844091,"jalan prof. dr. soepomo no. 145b rrt. 07/01, menteng dalam, tebet, rt.7/rw.1, menteng dalam, kota jakarta selatan",ChIJhUGeCJXzaS4RQDxlB2kfUOw,0
warteg berkah jaya,0,0,-6.2347538,106.8402984,"jl. rasamala 1 no.2a, rt.4/rw.2, menteng dalam, kota jakarta selatan",ChIJYeUz2erzaS4RoDId64f4Zzw,0
warteg satria,4.5,101,-6.234213599999999,106.84669,"jl. tebet barat dalam raya no.9, rt.8/rw.2, tebet bar., kota jakarta selatan",ChIJD1kzWe3zaS4Rav1WOP5rHZk,0
