nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg putra bahari 113,5,1,-6.2106204,106.8468557,"jl. padang panjang no.5b, rt.4/rw.8, ps. manggis, kota jakarta selatan",ChIJhcdPdPv1aS4RTFUcafcs5QA,0
warteg bahari mas bambang,5,2,-6.2131298,106.844983,"jl. padang panjang no.8, rt.5/rw.8, ps. manggis, kota jakarta selatan",ChIJC52MDHX0aS4RkWm1iqLJzhE,0
warteg siang malam,4.6,51,-6.2147085,106.8436209,"jl. minangkabau barat no.75, rt.7/rw.8, ps. manggis, kota jakarta selatan",ChIJPzcUHHX0aS4RoVB7xpFPE0Y,0
warteg murni,4.5,2,-6.208837399999999,106.8421317,"jl. menteng wadas timur, rt.9/rw.2, ps. manggis, kota jakarta selatan",ChIJCf792XL0aS4RZMOSt7Da3DI,0
warteg sumber rejeki,4.3,33,-6.210910999999999,106.843766,"jalan sawah lunto no.20 rt 4 rw 01, kelurahan pasar manggis, kecamatan setiabudi, rt.14/rw.1, ps. manggis, kota jakarta selatan",ChIJZ7iqc3P0aS4RxJ0_RQDhe7U,0
warteg kharisma bahari cb.saharjo,3.9,43,-6.215278,106.843964,"qrmv+vhp, rt.8/rw.10, south manggarai, south jakarta city",ChIJzcToiGP1aS4RoVKibqNQcOA,0
warteg karlina bahari,4.2,92,-6.2114988,106.846447,"jl. dr. saharjo no.35, rt.11/rw.5, manggarai, kota jakarta selatan",ChIJWeG3K4H1aS4RXqsJQXK9zaY,0
warteg citaayu,0,0,-6.2171727,106.8404217,"jl. menteng atas dalam, rt.14/rw.6, menteng atas, kota jakarta selatan",ChIJ4Y-VW_XzaS4R66zBHx0QdTM,0
warteg baru,5,2,-6.2111319,106.8400303,"jl. menteng bata, rt.15/rw.7, ps. manggis, kota jakarta selatan",ChIJmWORogz0aS4R5_U6TpLzv8E,0
warteg subsidi bahari,4.3,35,-6.2137514,106.8429523,"jl. payakumbuh no.79-83, rt.2/rw.9, ps. manggis, kota jakarta selatan",ChIJYaSM1Kv1aS4Rexn6l9onvwY,0
warteg murah rizqi,4.3,3,-6.2144411,106.8429165,"jl. payakumbuh no.14, rt.4/rw.6, menteng atas, kota jakarta selatan",ChIJB85Pumf1aS4RIIrT013awrA,0
warteg ayu,0,0,-6.2090111,106.8418541,"jl. menteng wadas timur, rt.13/rw.2, ps. manggis, kota jakarta selatan",ChIJuaka1nL0aS4RETLwT0xq-ZI,0
wahyoo warteg bahari,4.6,9,-6.2094722,106.8503081,"jl. manggarai utara 2 no.17, rt.15/rw.4, manggarai, kota jakarta selatan",ChIJKxIy4nD0aS4R6b7QncHtuA4,0
wahyoo warteg sinta bahari,4,2,-6.2150709,106.840792,"9, jl. menteng atas no.6, rt.9/rw.6, menteng atas, kota jakarta selatan",ChIJjUg5GBH1aS4R6eEb7z3yB5s,0
warteg maun jaya,4.8,6,-6.2185941,106.8452144,"jalan dokter saharjo, rt.1/rw.4, manggarai sel., kota jakarta selatan",ChIJY7fqT4rzaS4RpXeI2d90cpo,0
warteg nissaa bahari,0,0,-6.218228499999999,106.8450123,"jl. dr. saharjo no no.115c, rt.2/rw.7, manggarai sel., kota jakarta selatan",ChIJUQmhja_zaS4RogY9XwxtoIA,0
wahyoo warteg ortega sumber rezeki,0,0,-6.2108307,106.8435578,"jl. menteng wadas iv no.4, rt.14/rw.1, ps. manggis, kota jakarta selatan",ChIJnQGQNE31aS4RZcl7RH1Eslg,0
warteg 88,5,1,-6.211130300000001,106.8400312,"15, jl. menteng bata no.16, rw.7, ps. manggis, kota jakarta selatan",ChIJYzRfMtr1aS4REmA0q5_vGbo,0
warteg,0,0,-6.215370399999999,106.8439837,"jl. dr. saharjo no.87a, rt.1/rw.10, manggarai sel., kota jakarta selatan",ChIJU6NLcaT1aS4RWLdWE10H-to,0
