nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg putra bahari 112,4.9,20,-6.231840999999999,106.85273,"8, jl. tebet timur raya no.18d, rt.8/rw.10, east tebet, south jakarta city",ChIJz6k9KtvzaS4R2OKeQIHyhbs,0
warteg nojo jaya,4.6,8,-6.2350157,106.8600161,"jl. asem baris raya no.36a, rt.4/rw.6, kb. baru, kota jakarta selatan",ChIJtUT4Op_zaS4R5XX7ufYQ850,0
warteg warmo,4.1,3319,-6.230143,106.8523994,"jl. tebet timur raya no.1d, rt.8/rw.10, tebet tim., kota jakarta selatan",ChIJez1HhZDzaS4RDzWl0w4Y-5E,0
warteg bahari berkah,0,0,-6.233874399999999,106.8568334,"jl. tebet timur dalam raya no.rt.004, rt.4/rw.5, tebet tim., kota jakarta selatan",ChIJo64jEZXzaS4RvUg2XuXUamc,0
warteg subur jaya,3.5,2,-6.2386555,106.8604565,"jl. asem baris raya no.115, rt.3/rw.11, kb. baru, kota jakarta selatan",ChIJrYJSlqHzaS4RqVK2H3B34Vo,0
warteg ridho ibu,3,1,-6.2355081,106.8570736,"jl. tebet timur dalam raya no.2, rw.6, tebet tim., kota jakarta selatan",ChIJX1PskpjzaS4RgD_4nr4402o,0
warteg pal b,4.4,20,-6.2342895,106.8566383,"jl. tebet timur dalam v b no.rt 4, rt.4/rw.5, tebet tim., kota jakarta selatan",ChIJy1CO_pjzaS4R90O1VoaBuWg,0
warteg barokah,4.3,10,-6.2300781,106.8526646,"jl. tebet timur raya no.32d, rt.9/rw.10, tebet tim., kota jakarta selatan",ChIJB2JJXLzzaS4Rl38TLDDvUEk,0
warteg tiga dara,4.6,9,-6.2379662,106.8564952,"jl. tebet timur iii no.42, rt.1/rw.8, tebet tim., kota jakarta selatan",ChIJr4-po5DzaS4Ri-ubaDQHEXg,0
warteg berkah 24 jam,5,4,-6.231125899999999,106.8515706,"jalan tebet barat raya no.2, rw no.7 kel, rw.5, tebet bar., kota jakarta selatan",ChIJzWhmBtjzaS4RYllNVipZGLw,0
warteg 777 bu yanti,0,0,-6.230029699999999,106.8522891,"10, jl. tebet raya utara, rt.7/rw.10, tebet tim., kota jakarta selatan",ChIJL5VM7gnzaS4RTuyKqNGu9n4,0
warteg jaya bahari,4.3,71,-6.229081799999999,106.8589533,"qvc5+9h8, rt.4/rw.5, kebon baru, south jakarta city",ChIJv7OqgZvzaS4RReSkChFTU5c,0
warteg gaul,4.5,6,-6.229657899999999,106.8582529,"jl. tebet timur dalam ii, rt.6/rw.3, tebet tim., kota jakarta selatan",ChIJYYaxmpvzaS4Riyrd5B0_j3M,0
warteg vokoke wareg,0,0,-6.234931,106.851563,"jl. tebet barat raya, rt.4/rw.7, tebet bar., kota jakarta selatan",ChIJo5qIHz7zaS4RHUDp-mPHyoE,0
warteg tasya,4.5,51,-6.229188,106.8516545,"jl. tebet barat raya, rt.14/rw.1, tebet bar., kota jakarta selatan",ChIJBT53xGrzaS4RH6BnYXB2z3c,0
warteg pipit enak kenyang,0,0,-6.238693,106.8519836,"jl. tebet timur dalam raya no.44, rt.1/rw.8, tebet bar., kota jakarta selatan",ChIJxUq5blPzaS4R90B3l1FkJXI,0
warteg bahari,5,3,-6.230770199999999,106.8592638,"gg 8 jl. asem baris selatan ii no.7, rt.7/rw.5, kb. baru, kota jakarta selatan",ChIJGyxpCJzzaS4R0G-L5JU4Dko,0
warteg jenong,4.8,8,-6.2420471,106.8597967,"jl. asem baris raya no.32, rt.1/rw.14, kb. baru, kota jakarta selatan",ChIJP5wTrqbzaS4RYX3xKoUABAk,0
wahyoo warteg langgeng jaya,4.8,6,-6.241931,106.8610485,"jl. asem baris raya no.2, rt.6/rw.14, kb. baru, kota jakarta selatan",ChIJIfbAzqbzaS4RSSqBJtoZopY,0
warteg warmo,4.1,3319,-6.230143,106.8523994,"jl. tebet timur raya no.1d, rt.8/rw.10, tebet tim., kota jakarta selatan",ChIJez1HhZDzaS4RDzWl0w4Y-5E,0
warteg putra bahari 112,4.9,20,-6.231840999999999,106.85273,"8, jl. tebet timur raya no.18d, rt.8/rw.10, east tebet, south jakarta city",ChIJz6k9KtvzaS4R2OKeQIHyhbs,0
warteg nojo jaya,4.6,8,-6.2350157,106.8600161,"jl. asem baris raya no.36a, rt.4/rw.6, kb. baru, kota jakarta selatan",ChIJtUT4Op_zaS4R5XX7ufYQ850,0
warteg barokah,4.3,10,-6.2300781,106.8526646,"jl. tebet timur raya no.32d, rt.9/rw.10, tebet tim., kota jakarta selatan",ChIJB2JJXLzzaS4Rl38TLDDvUEk,0
warteg bahari berkah,0,0,-6.233874399999999,106.8568334,"jl. tebet timur dalam raya no.rt.004, rt.4/rw.5, tebet tim., kota jakarta selatan",ChIJo64jEZXzaS4RvUg2XuXUamc,0
warteg 777 bu yanti,0,0,-6.230029699999999,106.8522891,"10, jl. tebet raya utara, rt.7/rw.10, tebet tim., kota jakarta selatan",ChIJL5VM7gnzaS4RTuyKqNGu9n4,0
warteg ridho ibu,3,1,-6.2355081,106.8570736,"jl. tebet timur dalam raya no.2, rw.6, tebet tim., kota jakarta selatan",ChIJX1PskpjzaS4RgD_4nr4402o,0
warteg gaul,4.5,6,-6.229657899999999,106.8582529,"jl. tebet timur dalam ii, rt.6/rw.3, tebet tim., kota jakarta selatan",ChIJYYaxmpvzaS4Riyrd5B0_j3M,0
warteg bu ipah,5,2,-6.230258699999999,106.8523018,"no., jl. tebet raya no.15, rt.8/rw.10, tebet tim., kota jakarta selatan",ChIJK3v_lpDzaS4R4vRnQ8m4nUI,0
warteg jaya bahari,4.3,71,-6.229081799999999,106.8589533,"qvc5+9h8, rt.4/rw.5, kebon baru, south jakarta city",ChIJv7OqgZvzaS4RReSkChFTU5c,0
warteg subur jaya,3.5,2,-6.2386555,106.8604565,"jl. asem baris raya no.115, rt.3/rw.11, kb. baru, kota jakarta selatan",ChIJrYJSlqHzaS4RqVK2H3B34Vo,0
warteg pal b,4.4,20,-6.2342895,106.8566383,"jl. tebet timur dalam v b no.rt 4, rt.4/rw.5, tebet tim., kota jakarta selatan",ChIJy1CO_pjzaS4R90O1VoaBuWg,0
warteg tiga dara,4.6,9,-6.2379662,106.8564952,"jl. tebet timur iii no.42, rt.1/rw.8, tebet tim., kota jakarta selatan",ChIJr4-po5DzaS4Ri-ubaDQHEXg,0
warteg ibu mukrim,4.5,25,-6.228701699999999,106.8517258,"qvc2+gm9, rt.15/rw.1, west tebet, south jakarta city",ChIJqViFXZDzaS4RYuxEuo2HLgE,0
warteg bahari,4.6,5,-6.2273648,106.8580821,"3, jl. tebet timur dalam ii no.1, rt.1/rw.3, tebet tim., kota jakarta selatan",ChIJszqGRJvzaS4RfYVqRQsB5AE,0
warteg tasya,4.5,51,-6.229188,106.8516545,"jl. tebet barat raya, rt.14/rw.1, tebet bar., kota jakarta selatan",ChIJBT53xGrzaS4RH6BnYXB2z3c,0
warteg bang jhon,3.6,7,-6.2300576,106.8521469,"jl. tebet raya, rt.14/rw.1, tebet bar., kota jakarta selatan",ChIJS6RZkZDzaS4RtJ6Y8Xef9Zc,0
