nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg bahari,5,3,-6.230770199999999,106.8592638,"gg 8 jl. asem baris selatan ii no.7, rt.7/rw.5, kb. baru, kota jakarta selatan",ChIJGyxpCJzzaS4R0G-L5JU4Dko,0
warteg bahari,4.6,5,-6.2273648,106.8580821,"3, jl. tebet timur dalam ii no.1, rt.1/rw.3, tebet tim., kota jakarta selatan",ChIJszqGRJvzaS4RfYVqRQsB5AE,0
warteg bu sri,5,2,-6.225026600000001,106.8563167,"jl. abdullah syafei no.50, rt.1/rw.6, bukit duri, kota jakarta selatan",ChIJ49Hnl4TzaS4Ro-KQBrsG4ZA,0
warteg warmo,4.1,3319,-6.230143,106.8523994,"jl. tebet timur raya no.1d, rt.8/rw.10, tebet tim., kota jakarta selatan",ChIJez1HhZDzaS4RDzWl0w4Y-5E,0
warteg gaul,4.5,6,-6.229657899999999,106.8582529,"jl. tebet timur dalam ii, rt.6/rw.3, tebet tim., kota jakarta selatan",ChIJYYaxmpvzaS4Riyrd5B0_j3M,0
warteg wb,4.8,4,-6.2232997,106.8589517,"jl. bukit duri tanjakan no.2, rt.12/rw.12, bukit duri, kota jakarta selatan",ChIJvVCteYTzaS4RrEMwee9i2M8,0
warteg susi bahari,5,1,-6.226495799999999,106.8587569,"jl. asem baris raya no.17, rt.1/rw.5, kb. baru, kota jakarta selatan",ChIJtS5jU5vzaS4RtxY8obObZw4,0
warteg kowantara jaksel,0,0,-6.229251,106.8590195,"gg. o, rt.5/rw.5, kb. baru, kota jakarta selatan",ChIJbXEzh5vzaS4RVRqTnPQGgQw,0
warteg ibu mulus,4.7,32,-6.222481699999999,106.8590161,"jl. bukit duri tanjakan no.58, rt.1/rw.8, bukit duri, kota jakarta selatan",ChIJ4y2TCoTzaS4RGr44il_yChU,0
warteg ibu nining,4,2,-6.226795699999999,106.8585011,"jalan asem baris raya no.20, tebet, rt.1/rw.5, kb. baru, kota jakarta selatan",ChIJtwG_UZvzaS4Rp8OGDctOnaA,0
warteg putra bahari 112,4.9,20,-6.231840999999999,106.85273,"8, jl. tebet timur raya no.18d, rt.8/rw.10, east tebet, south jakarta city",ChIJz6k9KtvzaS4R2OKeQIHyhbs,0
