nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
wahyoo warteg putri,4.0,1,-6.226234099999999,106.84185090000001,"jl. pal batu 3 no.1, rt.14/rw.4, menteng dalam, kota jakarta selatan",ChIJvSGYwTzzaS4RCo-mcvvcX9s,0.0
wahyoo warteg sinta bahari,4.3,63,-6.2186534999999985,106.8377666,"no., jl. menteng atas barat no.2, rt.3/rw.5, menteng atas, dki jakarta",ChIJJS7sUwr0aS4RNLZeBtF_zYU,0.0
warteg ayu laka- laka,5.0,4,-6.2206670000000015,106.842047,"jl. rela no 4a rt 09, kel 11, rt.11/rw.10, menteng atas, kota jakarta selatan",ChIJkSaQ1u_zaS4RPwl7frKsA5M,0.0
warteg bahari,0.0,0,-6.221403,106.844424,"jl. menteng pulo, rt.12/rw.8, menteng atas, kota jakarta selatan",ChIJwwwDgovzaS4R-mU6M41P8VI,0.0
warteg eli,0.0,0,-6.221371599999999,106.84153880000001,"qrhr+fj3, rt.10/rw.9, menteng atas, south jakarta city",ChIJ41ponbnzaS4RVaKK9xX0nbM,0.0
warteg fajar,3.8,11,-6.224195,106.8411074,"jl. menteng pulo ii no.31, rt.2/rw.12, menteng dalam, kota jakarta selatan",ChIJXyjyLPPzaS4R5qhGPEYcCFI,0.0
warteg,0.0,0,-6.2238137999999985,106.84649909999999,"jl. raya casablanca, rt.17/rw.5, menteng dalam, kota jakarta selatan",ChIJMwa_MYzzaS4Rp-ASI95wHl0,0.0
warteg yuli ana,5.0,1,-6.214056999999999,106.838806,"jl menteng atas selatan no5 rt04/rw05 kel, rt.11/rw.12, menteng atas, kota jakarta selatan",ChIJfxrhtwr1aS4RM6y55t8trVg,0.0
warteg bahari 234,0.0,0,-6.2393939000000005,106.8182932,"jl. kapten tendean no.4, rt.1/rw.1, pela mampang, kota jakarta selatan",ChIJE-dnjN_zaS4RunDaLwj6xZ0,0.019950100000006188
warteg kharisma bahari - senopati,4.9,13,-6.2297926,106.80768640000001,"jl. tulodong atas no.1 no.3, rt.6/rw.3, senayan, kota jakarta selatan",ChIJfTBswT_xaS4RbXxLGbiUOnI,0.017094799999998855
warteg bahari lawang siji,5.0,3,-6.2096399999999985,106.826155,"jl. taman setia budi tim., rt.1rt 2/rw.2, kuningan, setia budi, kota jakarta selatan",ChIJ7zV84nX1aS4RKTA2PZG2cHE,0.0
warteg sintia,0.0,0,-6.206665,106.8315867,"jl. edi v no.8, rt.8/rw.6, guntur, kota jakarta selatan",ChIJ30fpFIf1aS4RR-Hsh_1vMq0,0.0
warteg kharisma bahari,4.5,2,-6.2125249999999985,106.8257325,"jl. bb no.20/11, rt.6/rw.5, kuningan, karet kuningan, kota jakarta selatan",ChIJt2vBzzX1aS4Rl9RNOczoxpE,0.0
warteg 612,3.3,3,-6.212568599999999,106.8246301,"kuningan, karet, south jakarta city",ChIJyT-2pQb0aS4RnCSqWTzMIKk,0.0
warteg nusantara milenia cab mampang,4.6,9,-6.2417576,106.82545390000001,"jl. mampang prpt. raya no.42-10, rt.6/rw.1, mampang prpt., kota jakarta selatan",ChIJIWWHcYPzaS4Ryt8jshzJn5c,0.0
warteg anindya,4.7,3,-6.2409514,106.82117579999999,"jl. pd. karya, rt.2/rw.9, pela mampang, kota jakarta selatan",ChIJ7caTMqbzaS4RK-zKmDq8XSk,0.0
warteg mini,5.0,5,-6.2443728,106.8323338,"jl. tegal parang utara no.37b, rt.7/rw.4, mampang prpt., kota jakarta selatan",ChIJlaMX98TzaS4R6jRYgeneZuc,0.0
warteg jono,3.8,9,-6.2408113,106.8207697,"jl. bangka i, rt.2/rw.9, pela mampang, kota jakarta selatan",ChIJBx90At_zaS4RGUrh-C3K4eg,0.0
warteg nojo jaya,3.5,8,-6.2105606,106.8235463,"jalan raya kelurahan setiabudi no.2, rt.2/rw.2, kuningan, setia budi, kota jakarta selatan",ChIJv9lqjAP0aS4RF_M7KtfPA6Y,0.01234119999999983
warteg bu ati,0.0,0,-6.2294003999999985,106.8215767,"jl. guru mughni no.10, rt.2/rw.5, kuningan, kuningan tim., kota jakarta selatan",ChIJezhuEOPzaS4R_31zYm2fBZg,0.014750200000007931
warteg nurul jaya,5.0,1,-6.2379327999999985,106.8092399,"jl. ciragil ii no.14, rt.4/rw.1, rw. bar., kota jakarta selatan",ChIJlSx6gV3xaS4RX63CdU-RK_c,0.0
warteg slawiayu,5.0,1,-6.236124299999998,106.8157183,"blok s, jl. senayan, rt.5/rw.6, rw. bar., kota jakarta selatan",ChIJxxTspF_xaS4RSg0lD1RiMWA,0.0
warteg 88a jaya,4.0,13,-6.238967,106.813477,"rt.1/rw.4, petogogan, south jakarta city",ChIJ-VtAlWDxaS4Rufkfpv684fU,0.0
warteg jaya lap blok s,5.0,1,-6.2374823,106.81482140000001,"jl. birah ii no.4, rt.6/rw.6, rw. bar., kota jakarta selatan",ChIJqWOhLV7xaS4RDvGBcds4JAw,0.0
warteg kharisma,4.9,9,-6.2383967999999985,106.8473758,"jl. tebet barat dalam iv, rt.15/rw.6, tebet bar., kota jakarta selatan",ChIJt8or7tDzaS4R-H8EdwDC7z8,0.0
warteg podomoro,4.3,3,-6.2317885,106.8442469,"jl. k.h. ramli no.8b, rt.2/rw.3, menteng dalam, kota jakarta selatan",ChIJCePlUpPzaS4RXx0zXNYM_TM,0.0
warteg kharisma,5.0,9,-6.2401003,106.8452356,"jl. prof. dr. soepomo no.31, rt.4/rw.1, menteng dalam, kota jakarta selatan",ChIJ3zjb-PTzaS4RRwisPY_Jgiw,0.0
warteg nur mulya 3,5.0,2,-6.2340686,106.84405749999999,"jalan dr. soepomo, rt.1/rw.2, menteng dalam, kota jakarta selatan",ChIJ0-7D-ZTzaS4R9ru7hCnmOr8,0.0
warteg putra bahari,4.3,4,-6.245657700000001,106.819603,"rt.2/rw.3, pela mampang, kota jakarta selatan",ChIJVVVVaNjzaS4RyixQLFrqka8,0.02276280000000241
warteg,4.2,10,-6.238093900000001,106.82719209999999,"jl. gatot subroto no.23, rt.2/rw.2, kuningan bar., kota jakarta selatan",ChIJkX-lW93zaS4R14XAXTz3ayU,0.008619500000002667
warteg bu yanti,4.8,12,-6.245361,106.82742830000001,"jl. mampang prapatan iv, rt.5/rw.5, mampang prpt., kota jakarta selatan",ChIJnUe14trzaS4RXKiE7Rit_eo,0.016122799999990892
warteg barokah,4.0,1,-6.243405200000001,106.83541699999999,"jl. pancoran barat xic, rt.5/rw.3, pancoran, kota jakarta selatan",ChIJM-bbHcTzaS4Rd_xzhiQUmbw,0.022155700000003442
warteg nojo jaya,4.1,130,-6.2369222,106.8169473,"jl. rengas 3 no.1, rt.7/rw.2, rw. bar., kota jakarta selatan",ChIJe36y7V_xaS4Rg4XGMfLfIX0,0.01668300000000844
warteg nojo jaya ciragil,4.2,113,-6.2374415,106.80939579999999,"jl. cikatomas no.12, rt.5/rw.1, rw. bar., kota jakarta selatan",ChIJSfF6m13xaS4RA4-iuuueqIg,0.02475379999999916
warteg nojo jaya,4.3,52,-6.246447900000001,106.8187618,"jl. bangka ii no.44b, rt.1/rw.3, pela mampang, kota jakarta selatan",ChIJx7Z8btjzaS4RPtfQJN3azZ0,0.024394199999998808
warteg bahari jaya,0.0,0,-6.2390041,106.81887340000002,"jl. kapten tendean, rt.6/rw.5, kuningan bar., kota jakarta selatan",ChIJ-RZCiKvzaS4RtAav75WND64,0.016838800000002152
warteg latifah,4.5,87,-6.2479930999999995,106.8283968,"jl. mampang prapatan viii, rt.2/rw.2, tegal parang, kota jakarta selatan",ChIJ3ROwC9DzaS4Rtjta9p9Pkrk,0.0197233999999904
warteg putri barokah,5.0,3,-6.246687400000001,106.82894679999998,"jl. mampang prapatan vi, rt.8/rw.2, tegal parang, kota jakarta selatan",ChIJSalwt9rzaS4Rebe67f7j1XE,0.01896769999999393
warteg bahari,4.4,5,-6.2436783,106.82599569999999,"jl. mampang prapatan ii, rt.1/rw.5, mampang prpt., kota jakarta selatan",ChIJgeVMl9vzaS4RYj_nLr2mHlI,0.014390699999996315
wahyoo warteg bahari tegal,4.2,33,-6.245285,106.832002,"jl. mampang prpt. raya no.50, rt.6/rw.2, tegal parang, jakarta",ChIJYRJm8HDzaS4R2dbsP7HAQQY,0.02062049999999971
warteg sederhana,4.7,11,-6.248002,106.816425,"5 no, jl. bangka no.13, rt.10/rw.3, pela mampang, dki jakarta",ChIJw3WatWLxaS4RRAE587JshQE,0.028285100000007724
warteg jaya bahari,3.8,71,-6.2429118,106.8324035,"jl. tegal parang utara no.8, rw.4, mampang prapatan, south jakarta city",ChIJLxmzydXzaS4RwXUdsDypiro,0.018648799999994917
warteg jaya bahari,4.6,5,-6.241229,106.8177995,"jl. bangka raya no.10, rt.2/rw.1, pela mampang, kota jakarta selatan",ChIJVYhx2GHxaS4R8ZbmSUf-62k,0.020137599999996425
warteg bahari kharisma,4.4,41,-6.243481099999999,106.8290251,"jl. mampang prapatan ii no.74, rt.11/rw.5, mampang prpt., kota jakarta selatan",ChIJf6QHT9vzaS4RCFGlBe2Zi_M,0.01583969999999102
warteg yana,5.0,2,-6.246696900000001,106.8259189,"jl. mampang prpt. raya no.70 d, rt.9/rw.3, tegal parang, kota jakarta selatan",ChIJiTxjb9rzaS4REM1n7VAkszE,0.017486099999998398
warteg sri rejeki,4.5,45,-6.246705,106.82913300000001,"jl. mampang prpt. raya no.17, rt.8/rw.2, tegal parang, kota jakarta selatan",ChIJ8_93t9rzaS4RG7EsXgnOoYc,0.01917149999999612
warteg jaya,3.0,1,-6.237504,106.81493300000001,"#, jl. birah ii no.4, rt.6/rw.6, rw. bar., kota jakarta selatan",ChIJy_TP0l_xaS4RN33VNof7puc,0.019279100000007432
