nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg bahari,4.5,12,-6.2355784,106.842835,"jl. masjid an nur no.24a, rt.4/rw.2, menteng dalam, kota jakarta selatan",ChIJlXALPpXzaS4RrjkhZxIhv9I,0
warteg salsabilla,4.2,31,-6.2347018,106.8378487,"2, jl. rasamala iii no.3, rt.2/rw.13, menteng dalam, kota jakarta selatan",ChIJq93OrevzaS4R8Q3x2ynNcyI,0
warteg rasamala,4,104,-6.2361868,106.8402147,"jl. rasamala raya no.24, rt.9/rw.2, menteng dalam, kota jakarta selatan",ChIJ802RvurzaS4Rx2pin99rm7A,0
warteg podomoro 3,5,1,-6.2321442,106.8441351,"jalan merpati 3 no.26, rt.1/rw.3, menteng dalam, kota jakarta selatan",ChIJBzn-f5PzaS4R17_-nsHYGso,0
warteg cahaya baru,4.9,7,-6.235236,106.844091,"jalan prof. dr. soepomo no. 145b rrt. 07/01, menteng dalam, tebet, rt.7/rw.1, menteng dalam, kota jakarta selatan",ChIJhUGeCJXzaS4RQDxlB2kfUOw,0
warteg berkah jaya,0,0,-6.2347538,106.8402984,"jl. rasamala 1 no.2a, rt.4/rw.2, menteng dalam, kota jakarta selatan",ChIJYeUz2erzaS4RoDId64f4Zzw,0
warteg ridho ibu,4.6,15,-6.240116,106.8452333,"jl. prof. dr. soepomo no.31, rt.4/rw.1, menteng dalam, kota jakarta selatan",ChIJY5BMw77zaS4RcRklqw5XtMI,0
warteg podomoro,4.3,3,-6.2317885,106.8442469,"jl. k.h. ramli no.8b, rt.2/rw.3, menteng dalam, kota jakarta selatan",ChIJCePlUpPzaS4RXx0zXNYM_TM,0
warteg jaya makmur,5,4,-6.2411759,106.8446499,"jl. prof. dr. soepomo no.7, rt.4/rw.1, menteng dalam, kota jakarta selatan",ChIJYwXw0eXzaS4R2BJWYmrH6xs,0
warteg pojok,4.5,4,-6.242638299999999,106.8367715,"jl. pancoran barat xi no.19, rt.1/rw.3, pancoran, kota jakarta selatan",ChIJ97NFtMbzaS4R11zCKNnQMXo,0
warteg kharisma soepomo,5,1,-6.2408294,106.8448647,"jl. prof. dr. soepomo no.7-15, rt.4/rw.1, menteng dalam, kota jakarta selatan",ChIJi6jvv2HzaS4REhX6XkeKCYE,0
warteg satria,4.5,101,-6.234213599999999,106.84669,"jl. tebet barat dalam raya no.9, rt.8/rw.2, tebet bar., kota jakarta selatan",ChIJD1kzWe3zaS4Rav1WOP5rHZk,0
warteg kharisma,5,9,-6.2401003,106.8452356,"jl. prof. dr. soepomo no.31, rt.4/rw.1, menteng dalam, kota jakarta selatan",ChIJ3zjb-PTzaS4RRwisPY_Jgiw,0
warteg bahari,4.5,12,-6.2355784,106.842835,"jl. masjid an nur no.24a, rt.4/rw.2, menteng dalam, kota jakarta selatan",ChIJlXALPpXzaS4RrjkhZxIhv9I,0
warteg kharisma,4.2,18,-6.239914,106.84741,"jl. tebet barat dalam vii no.5 a, rt.9/rw.6, tebet bar., kota jakarta selatan",ChIJ677FKbzzaS4RXgH8C4vnh9k,0
warteg ridho ibu,4.6,15,-6.240116,106.8452333,"jl. prof. dr. soepomo no.31, rt.4/rw.1, menteng dalam, kota jakarta selatan",ChIJY5BMw77zaS4RcRklqw5XtMI,0
warteg jaya makmur,5,4,-6.2411759,106.8446499,"jl. prof. dr. soepomo no.7, rt.4/rw.1, menteng dalam, kota jakarta selatan",ChIJYwXw0eXzaS4R2BJWYmrH6xs,0
warteg subsidi bahari,5,2,-6.2405221,106.8476167,"jl. tebet barat dalam raya no.15, rt.2/rw.5, tebet bar., kota jakarta selatan",ChIJ3dw24YfzaS4RPpj8ziIGwYo,0
warteg rasamala,4,104,-6.2361868,106.8402147,"jl. rasamala raya no.24, rt.9/rw.2, menteng dalam, kota jakarta selatan",ChIJ802RvurzaS4Rx2pin99rm7A,0
