nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg nojo jaya,4.5,111,-6.215811599999999,106.8220707,"jl. bek murad no 18 rt 08/rw 01 kel, rt.8/rw.3, kuningan, karet kuningan, kota jakarta selatan",ChIJX1fv6wD0aS4RyuRA7AzPMdU,0
warteg nojo jaya,3.5,8,-6.2105606,106.8235463,"jalan raya kelurahan setiabudi no.2, rt.2/rw.2, kuningan, setia budi, kota jakarta selatan",ChIJv9lqjAP0aS4RF_M7KtfPA6Y,0
warteg ibu wati,4.4,59,-6.2147302,106.8275275,"jl. karbela timur no.9, rt.9/rw.4, kuningan, karet, kota jakarta selatan",ChIJsWe4sgf0aS4RceYsAUFVx4E,0
warteg mekar jaya,5,2,-6.214582999999999,106.8256022,"jl. karet belakang barat, rt.12/rw.2, kuningan, karet, kota jakarta selatan",ChIJM_Mh4gb0aS4RCIhNxG1QLKk,0
warteg barokah,4.6,5,-6.216711999999999,106.827459,"jl. karet belakang barat no.3 no 20, rt.19/rw.2, kuningan, karet kuningan, kota jakarta selatan",ChIJf7Ge7R71aS4RXUK_OuZXQK4,0
warteg akotizam,4.6,44,-6.2126686,106.8234422,"jl. karet gusuran iii gg. kamboja no.10, rt.6/rw.1, kuningan, karet, kota jakarta selatan",ChIJZZDGUwH0aS4R_Jn8cbpksvQ,0
warteg bahari,4.5,6,-6.209216199999999,106.826903,"jalan setia budi tengah no. 07, rt.1/rw.1, setia budi, kecamatan setiabudi, rt.1/rw.1, kuningan, setia budi, kota jakarta selatan",ChIJC00EUCH1aS4RoMLt2gsdy2k,0
warteg 88,4.1,17,-6.212848699999999,106.825929,"jalan perintis rt 8 rw 5, kelurahan karet, kecamatan setia budi, rt.12/rw.4, kuningan, karet, kota jakarta selatan",ChIJj2o9kAb0aS4RvV3NSi8oMRQ,0
warteg 100%,4.4,42,-6.216796599999999,106.8222188,"jalan bek kh rohyani i no. 9, rt.6/rw.1, karet kuningan, kecamatan setiabudi, rt.6/rw.1, kuningan, karet kuningan, kota jakarta selatan",ChIJuZARmAD0aS4R7dIOEU0CIg4,0
warteg sari asih,0,0,-6.209889,106.822346,"jalan barat kelurahan setiabudi kecamatan setiabudi, setiabudi, rt.2/rw.2, kuningan, setia budi, dki jakarta",ChIJtwDAYgT0aS4RZvoZczGj0OY,0
warteg orange,4.3,228,-6.2109592,106.8258194,"jl. taman setia budi i no.8, rt.5/rw.7, kuningan, karet, dki jakarta",ChIJQStBOAT0aS4R4UeqJeeFyqY,0
warteg bahari lawang siji,5,3,-6.209639999999999,106.826155,"jl. taman setia budi tim., rt.1rt 2/rw.2, kuningan, setia budi, kota jakarta selatan",ChIJ7zV84nX1aS4RKTA2PZG2cHE,0
warteg kharisma bahari,4.5,2,-6.212524999999999,106.8257325,"jl. bb no.20/11, rt.6/rw.5, kuningan, karet kuningan, kota jakarta selatan",ChIJt2vBzzX1aS4Rl9RNOczoxpE,0
warteg 234,4.5,4,-6.2163563,106.8235772,"jl. karet belakang no.28, rt.1/rw.2, kuningan, karet kuningan, kota jakarta selatan",ChIJm8UVtAD0aS4ROBJkm-OsbwA,0
warteg 612,3.3,3,-6.2125686,106.8246301,"kuningan, karet, south jakarta city",ChIJyT-2pQb0aS4RnCSqWTzMIKk,0
warteg kharisma bahari wkb satrio,0,0,-6.2168508,106.8192152,"jl. prof. dr. satrio, rt.3/rw.4, kuningan, karet semanggi, kota jakarta selatan",ChIJgaAiGMD1aS4RVt0O5pU5W-4,0
