nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg,3,1,-6.2187167,106.8612924,"jl. bukit duri no.30, rt.10/rw.6, bukit duri, kota jakarta selatan",ChIJjxOZ13_zaS4R6gMhRnEeuG0,0
warteg ibu mulus,4.7,32,-6.222481699999999,106.8590161,"jl. bukit duri tanjakan no.58, rt.1/rw.8, bukit duri, kota jakarta selatan",ChIJ4y2TCoTzaS4RGr44il_yChU,0
warteg merdeka,4.8,5,-6.2216344,106.8622363,"gg. h. abu no.11, rt.12/rw.10, bukit duri, kota jakarta selatan",ChIJH2g3QBfzaS4R3K1lhTt7lMs,0
warteg sido mulyo,5,1,-6.2187667,106.8591983,"jl. bukit duri tanjakan no.247, rt.11/rw.12, bukit duri, kota jakarta selatan",ChIJPbbLfSHzaS4RFiIuiUKCDDI,0
warteg marga sari,0,0,-6.2172261,106.8615668,"jl. bukit duri utara no.15, rt.3/rw.1, bukit duri, kota jakarta selatan",ChIJ6T_gjIDzaS4R6hjykiXOj44,0
wahyoo warteg dua putra,4.5,23,-6.2251368,106.858564,"jalan kh. abdullah syafei no.121, rt. 03/ rw. 09, bukit duri, tebet, rt.3/rw.9, bukit duri, kota jakarta selatan",ChIJ3XlFo4TzaS4RIccx9Mhy5Ac,0
warteg kemenangan,4.7,22,-6.2251669,106.8590153,"jl. bukit duri tanjakan no.110, rt.3/rw.9, bukit duri, kota jakarta selatan",ChIJ3X8FEdzzaS4R0gZWTPlAzYA,0
warteg intan jaya,3.5,4,-6.224689,106.864723,"nomor #10 kampung melayu jalan kh abdullah syafe'i, jl. abdullah syafei, rt.10/rw.1, bidara cina, dki jakarta",ChIJ78LFnoLzaS4R2vL37o3PCCg,0
warteg wb,4.8,4,-6.2232997,106.8589517,"jl. bukit duri tanjakan no.2, rt.12/rw.12, bukit duri, kota jakarta selatan",ChIJvVCteYTzaS4RrEMwee9i2M8,0
warteg ariana,4,5,-6.219337899999999,106.859052,"jl. bukit duri tanjakan no.7, rt.7/rw.12, bukit duri, kota jakarta selatan",ChIJLQmOKYHzaS4RgIsV58ufgPA,0
warteg ibu nur,5,1,-6.2217946,106.8302986,"no., jl. pedurenan mesjid 1 no.22, rt.16/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJW8HBUffzaS4Rwmp3Vi3ULJo,0
warteg dua saudara,4.5,13,-6.221017,106.827992,"jl pedurenan masjid raya rt 06/rw 07 kel, rt.6/rw.7, kuningan, karet kuningan, kota jakarta selatan",ChIJK2uIlfnzaS4R2w2xmEMl-Sk,0
warteg putri,4.5,105,-6.223198,106.828236,"jalan asem 4, rt.14/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJ6xUMFvrzaS4RaCeYKqPzOHY,0
warteg kharisma bahari - ambassador,4.7,10,-6.2239,106.828183,"jl. pedurenan masjid iii no.58, rt.11/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJVeUhTvzzaS4R6VoBqCD8XYU,0
warteg mba imah,5,1,-6.226838799999999,106.8356178,"jl. yayasan rpi no.115, rt.11/rw.13, kuningan tim., kota jakarta selatan",ChIJVwGRAfLzaS4RnSjiv8yJfhk,0
warteg putra bahari,5,1,-6.2227801,106.8323515,"jl. menteng atas barat, rt.16/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJVVi88qfzaS4Rkk8n8QeYzMk,0
"warteg kharisma bahari, pedurenan masjid 4",4.5,10,-6.223478399999999,106.8289488,"no.8, jl. pedurenan masjid iv, rt.14/rw.4, kuningan, kuningan, rt14, south jakarta city",ChIJPe6FMHbzaS4RWu9fd28z4DM,0
warteg kharisma bahari (wkb) ambassador 3,4.8,9,-6.2224999,106.8297564,"15, jl. pedurenan masjid 5 no.85, rt.15/rw.4, kuningan, karet kuningan, south jakarta city",ChIJ0_E80hLzaS4Rvv6Iuif0tqM,0
warteg pandan wangi,2.5,2,-6.219761,106.826687,"jl. peduranan masjid 2 kelurahan karet kuningan kecamatan setiabudi, dki jakarta",ChIJFwAAAPnzaS4Rf6j2RPhx2BI,0
warteg barokah,4.8,12,-6.219698999999999,106.838137,"jl. menteng atas barat, rt.5/rw.5, menteng atas, dki jakarta",ChIJm5kBVPTzaS4RRZCxr82lqFA,0
wahyoo warteg sinta bahari,4.3,63,-6.218653499999999,106.8377666,"no., jl. menteng atas barat no.2, rt.3/rw.5, menteng atas, dki jakarta",ChIJJS7sUwr0aS4RNLZeBtF_zYU,0
warteg barokah,4.6,5,-6.216711999999999,106.827459,"jl. karet belakang barat no.3 no 20, rt.19/rw.2, kuningan, karet kuningan, kota jakarta selatan",ChIJf7Ge7R71aS4RXUK_OuZXQK4,0
warteg ahai jaya,4.7,43,-6.217871,106.82706,"jl anggrek 5 rt 14/rw 07 kel, 7 no.16, rt.16/rw.7, kuningan, karet kuningan, kota jakarta selatan",ChIJpRu8ZPjzaS4RZOc8Q7r-8KU,0
warteg mekarjaya,4.4,53,-6.221789999999999,106.825715,"jl. pedurenan masjid iii no.4, rt.3/rw.6, kuningan, kota jakarta selatan",ChIJ0ZdzeYjzaS4RgKW6JmNNDHQ,0
warteg al fatih 24 jam,4.7,3,-6.2166938,106.8284694,"jalan anggrek 3 no.43rt.017/rw.7 kuningan, jl. kuningan barat raya no.17, rt.16/rw.7, kuningan, karet kuningan, kota jakarta selatan",ChIJi16uPbjzaS4R4LOhLUHbXTk,0
warteg pojok fera,5,1,-6.224065,106.8308632,"jl. pedurenan masjid 2, rt.1/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJzUDp3T7zaS4RobNodeXrAnQ,0
wahyoo warteg putra bahari,0,0,-6.219144900000001,106.8379734,"4, rt.5/rw.5, menteng atas, kota jakarta selatan",ChIJZ6pdjzTzaS4R1g3rBCgJ11k,0
warteg ayam bakar,0,0,-6.2172015,106.8366435,"pasar lokbin muria dalam, rt.16/rw.05, menteng atas, kota jakarta selatan",ChIJG0WNihbzaS4RyHjkvqeb7_A,0
warteg rejo,4.3,85,-6.2500474,106.8365005,"jl. pancoran barat vii, rt.3/rw.6, pancoran, kota jakarta selatan",ChIJwzmO2MjzaS4RhQ3lUJ_iSZo,0
warteg kharisma bahari,3.8,21,-6.253233,106.8373344,"jl. duren tiga raya no.41, rt.5/rw.6, duren tiga, kota jakarta selatan",ChIJYwBuaqbzaS4Rc_bfFtZiX4c,0
warteg dapuk,4.1,113,-6.253419900000001,106.8384314,"jl. duren tiga selatan, rt.3/rw.6, duren tiga, kota jakarta selatan",ChIJpbbHNhfzaS4RXx6_ORxH6x8,0
warteg saniki,4.6,27,-6.250999699999999,106.8350007,"jl. mampang prapatan xiv no.100, rt.8/rw.4, tegal parang, kota jakarta selatan",ChIJuZfW887zaS4RsTUoBdsp-Ko,0
warteg inyong,4.4,8,-6.253276899999999,106.8363791,"jl. gg. duren tiga no.47, rt.8/rw.6, duren tiga, kota jakarta selatan",ChIJ-6HO78vzaS4RDsLza33oBZ0,0
warteg putri kirana,5,1,-6.2500979,106.8364075,"jl. pancoran barat vii no.10 a, rt.9/rw.6, pancoran, kota jakarta selatan",ChIJm97M1IHzaS4RflCSpTxdSv4,0
warteg buncit ii,4.4,29,-6.2517461,106.8358954,"jl. mampang prapatan xiv, rt.8/rw.6, pancoran, kota jakarta selatan",ChIJBasWTMnzaS4RVCSjieL-2Kw,0
warteg kharisma bahari,4.6,33,-6.2502258,106.8366561,"9, jl. pancoran barat vii no.18, rt.13/rw.6, pancoran, kota jakarta selatan",ChIJDQIwcj3zaS4RmL1vc1EPsvk,0
warteg buncit iv,4.4,16,-6.2480077,106.8321559,"jl. tegal parang selatan i no.3a, rt.2/rw.4, tegal parang, kota jakarta selatan",ChIJsTilthjzaS4RGCWgA7NcDMM,0
warteg ridho ilahi,5,1,-6.2545199,106.8336721,"jl. duren tiga selatan iv a no.1-103, rt.4/rw.1, duren tiga, kota jakarta selatan",ChIJ98fL6MfzaS4REOzy0_b65s4,0
warteg subsidi,4.8,5,-6.2521157,106.8349458,"jl. mampang prpt. xv b no.12, rt.12/rw.5, duren tiga, kota jakarta selatan",ChIJy8cM5DHzaS4RCABzl8GnDHE,0
wahyoo warteg bahari tegal,4.2,33,-6.245285,106.832002,"jl. mampang prpt. raya no.50, rt.6/rw.2, tegal parang, jakarta",ChIJYRJm8HDzaS4R2dbsP7HAQQY,0
warteg putri barokah,5,3,-6.2466874,106.8289468,"jl. mampang prapatan vi, rt.8/rw.2, tegal parang, kota jakarta selatan",ChIJSalwt9rzaS4Rebe67f7j1XE,0
warteg dewi,3.8,4,-6.2534892,106.840767,"jl. duren tiga raya, rt.1/rw.1, pancoran, kota jakarta selatan",ChIJ624TDsrzaS4RtcJpUsWQ24E,0
warteg latifah,4.5,87,-6.2479931,106.8283968,"jl. mampang prapatan viii, rt.2/rw.2, tegal parang, kota jakarta selatan",ChIJ3ROwC9DzaS4Rtjta9p9Pkrk,0
warteg ridho illahi,4.4,45,-6.2500741,106.8300023,"jl. mampang prapatan xi no.9, rt.9/rw.1, tegal parang, kota jakarta selatan",ChIJxyyO08_zaS4RWyx7hIsTw7M,0
warteg sri rejeki,4.5,45,-6.246705,106.829133,"jl. mampang prpt. raya no.17, rt.8/rw.2, tegal parang, kota jakarta selatan",ChIJ8_93t9rzaS4RG7EsXgnOoYc,0
warteg podomoro mampang prapatan xv,4.2,5,-6.2519771,106.8339721,"jl. mampang prapatan xv no.8, rt.10/rw.5, duren tiga, kota jakarta selatan",ChIJB1N2CQ_zaS4RCs2nktSY38g,0
warteg latifah,3.9,61,-6.245214499999999,106.8308268,"jl. mampang prapatan iv, rt.15/rw.4, mampang prpt., kota jakarta selatan",ChIJTXvhJ8XzaS4RHQma6XlEioI,0
warteg mini,5,5,-6.2443728,106.8323338,"jl. tegal parang utara no.37b, rt.7/rw.4, mampang prpt., kota jakarta selatan",ChIJlaMX98TzaS4R6jRYgeneZuc,0
warteg rejo,4.3,85,-6.2500474,106.8365005,"jl. pancoran barat vii, rt.3/rw.6, pancoran, kota jakarta selatan",ChIJwzmO2MjzaS4RhQ3lUJ_iSZo,0
warteg dewi,3.8,4,-6.2534892,106.840767,"jl. duren tiga raya, rt.1/rw.1, pancoran, kota jakarta selatan",ChIJ624TDsrzaS4RtcJpUsWQ24E,0
warteg kharisma bahari,3.8,21,-6.253233,106.8373344,"jl. duren tiga raya no.41, rt.5/rw.6, duren tiga, kota jakarta selatan",ChIJYwBuaqbzaS4Rc_bfFtZiX4c,0
warteg dapuk,4.1,113,-6.253419900000001,106.8384314,"jl. duren tiga selatan, rt.3/rw.6, duren tiga, kota jakarta selatan",ChIJpbbHNhfzaS4RXx6_ORxH6x8,0
warteg baru,5,2,-6.2485427,106.8346879,"jl. pancoran barat viii, rt.7/rw.4, tegal parang, kota jakarta selatan",ChIJEfLbRc_zaS4RLjxpfPB4ZRg,0
warteg saniki,4.6,27,-6.250999699999999,106.8350007,"jl. mampang prapatan xiv no.100, rt.8/rw.4, tegal parang, kota jakarta selatan",ChIJuZfW887zaS4RsTUoBdsp-Ko,0
warteg inyong,4.4,8,-6.253276899999999,106.8363791,"jl. gg. duren tiga no.47, rt.8/rw.6, duren tiga, kota jakarta selatan",ChIJ-6HO78vzaS4RDsLza33oBZ0,0
warteg putri kirana,5,1,-6.2500979,106.8364075,"jl. pancoran barat vii no.10 a, rt.9/rw.6, pancoran, kota jakarta selatan",ChIJm97M1IHzaS4RflCSpTxdSv4,0
warteg cipta bahari,0,0,-6.249954799999999,106.8412415,"jl. pancoran bar. raya no.1, rt.1/rw.6, pancoran, kota jakarta selatan",ChIJB25ZaBzzaS4R65ov0uZYffo,0
warteg buncit ii,4.4,29,-6.2517461,106.8358954,"jl. mampang prapatan xiv, rt.8/rw.6, pancoran, kota jakarta selatan",ChIJBasWTMnzaS4RVCSjieL-2Kw,0
warteg kharisma bahari,4.6,33,-6.2502258,106.8366561,"9, jl. pancoran barat vii no.18, rt.13/rw.6, pancoran, kota jakarta selatan",ChIJDQIwcj3zaS4RmL1vc1EPsvk,0
warteg ridho ilahi,5,1,-6.2545199,106.8336721,"jl. duren tiga selatan iv a no.1-103, rt.4/rw.1, duren tiga, kota jakarta selatan",ChIJ98fL6MfzaS4REOzy0_b65s4,0
warteg zakaria,0,0,-6.258705600000001,106.8377832,"jl. duren tiga selatan no.67, rt.8/rw.3, duren tiga, kota jakarta selatan",ChIJEdU31onzaS4R3-9pMWJZO68,0
warteg subsidi,4.8,5,-6.2521157,106.8349458,"jl. mampang prpt. xv b no.12, rt.12/rw.5, duren tiga, kota jakarta selatan",ChIJy8cM5DHzaS4RCABzl8GnDHE,0
warteg pesona bahari,4.5,6,-6.2532369,106.8426154,"jl. raya pasar minggu no.46, rt.3/rw.7, duren tiga, kota jakarta selatan",ChIJtb4l6bXzaS4RroOmPgeOchY,0
warteg bercahaya,4.4,5,-6.258806,106.835951,"jl. duren tiga selatan, rt.15/rw.2, duren tiga, kota jakarta selatan",ChIJr-4DwjnzaS4RqpDIg1cSgx8,0
warteg aji,3.9,14,-6.2590796,106.8436271,"jl. kalibata timur i gg. rukun no.2, rt.1/rw.8, kalibata, kota jakarta selatan",ChIJJ6716EryaS4RanjpCv2gLg8,0
warteg family xii,5,1,-6.258811,106.835822,"jl. duren tiga selatan, rt.9/rw.2, duren tiga, dki jakarta",ChIJH8VAoTTyaS4RAyniWwYEJqs,0
warteg jaya makmur,4.1,13,-6.247274,106.842307,"jl. raya psr minggu, rt.1/rw.4, pancoran, kota jakarta selatan",ChIJ9coSHbjzaS4R2kA_O_yILi8,0
dapur warteg putra jaya,3.8,10,-6.2586857,106.8368179,"jl. gajah mungkur, rt.11/rw.3, duren tiga, jakarta",ChIJMak7vzTyaS4RL7jm4GLN5ho,0
warteg podomoro mampang prapatan xv,4.2,5,-6.2519771,106.8339721,"jl. mampang prapatan xv no.8, rt.10/rw.5, duren tiga, kota jakarta selatan",ChIJB1N2CQ_zaS4RCs2nktSY38g,0
warteg buncit iv,4.4,16,-6.2480077,106.8321559,"jl. tegal parang selatan i no.3a, rt.2/rw.4, tegal parang, kota jakarta selatan",ChIJsTilthjzaS4RGCWgA7NcDMM,0
warteg iyas,5,1,-6.250918899999999,106.8365886,"jl. pancoran barat vii, rt.8/rw.6, pancoran, kota jakarta selatan",ChIJVxfX-v3zaS4RQZ7sx5WjMP4,0
warteg rido ilahi,5,1,-6.2545115,106.83366,"jl. duren tiga raya no.54, rt.4/rw.1, duren tiga, kota jakarta selatan",ChIJnwuHRMzzaS4RMUc33pEyWKc,0
wahyoo warteg prima jaya,5,3,-6.247241000000001,106.842891,"jl. raya pasar minggu no.rt. 6, rt.7/rw.2, pancoran, kota jakarta selatan",ChIJKy13Ai3zaS4RVuf_amVkFoo,0
warteg subsidi,4.7,10,-6.2586967,106.8417007,"jl. duren tiga selatan no.37, rt.1/rw.2, kalibata, kota jakarta selatan",ChIJp7MTo4XzaS4R9aub3jE0gd4,0
warteg mitra bahari duren tiga,4.9,17,-6.253705999999999,106.835363,"jl. duren tiga raya no.134, rt.7/rw.7, duren tiga, jakarra selatan",ChIJhSxF7zrzaS4RXFEImHMjaaw,0
