nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg rejo,4.3,85,-6.2500474,106.8365005,"jl. pancoran barat vii, rt.3/rw.6, pancoran, kota jakarta selatan",ChIJwzmO2MjzaS4RhQ3lUJ_iSZo,0
warteg dewi,3.8,4,-6.2534892,106.840767,"jl. duren tiga raya, rt.1/rw.1, pancoran, kota jakarta selatan",ChIJ624TDsrzaS4RtcJpUsWQ24E,0
warteg kharisma bahari,3.8,21,-6.253233,106.8373344,"jl. duren tiga raya no.41, rt.5/rw.6, duren tiga, kota jakarta selatan",ChIJYwBuaqbzaS4Rc_bfFtZiX4c,0
warteg dapuk,4.1,113,-6.253419900000001,106.8384314,"jl. duren tiga selatan, rt.3/rw.6, duren tiga, kota jakarta selatan",ChIJpbbHNhfzaS4RXx6_ORxH6x8,0
wahyoo warteg bahari tegal,4.2,33,-6.245285,106.832002,"jl. mampang prpt. raya no.50, rt.6/rw.2, tegal parang, jakarta",ChIJYRJm8HDzaS4R2dbsP7HAQQY,0
warteg saniki,4.6,27,-6.250999699999999,106.8350007,"jl. mampang prapatan xiv no.100, rt.8/rw.4, tegal parang, kota jakarta selatan",ChIJuZfW887zaS4RsTUoBdsp-Ko,0
warteg inyong,4.4,8,-6.253276899999999,106.8363791,"jl. gg. duren tiga no.47, rt.8/rw.6, duren tiga, kota jakarta selatan",ChIJ-6HO78vzaS4RDsLza33oBZ0,0
warteg putri kirana,5,1,-6.2500979,106.8364075,"jl. pancoran barat vii no.10 a, rt.9/rw.6, pancoran, kota jakarta selatan",ChIJm97M1IHzaS4RflCSpTxdSv4,0
warteg buncit ii,4.4,29,-6.2517461,106.8358954,"jl. mampang prapatan xiv, rt.8/rw.6, pancoran, kota jakarta selatan",ChIJBasWTMnzaS4RVCSjieL-2Kw,0
warteg cipta bahari,0,0,-6.249954799999999,106.8412415,"jl. pancoran bar. raya no.1, rt.1/rw.6, pancoran, kota jakarta selatan",ChIJB25ZaBzzaS4R65ov0uZYffo,0
warteg kharisma bahari,4.6,33,-6.2502258,106.8366561,"9, jl. pancoran barat vii no.18, rt.13/rw.6, pancoran, kota jakarta selatan",ChIJDQIwcj3zaS4RmL1vc1EPsvk,0
warteg buncit iv,4.4,16,-6.2480077,106.8321559,"jl. tegal parang selatan i no.3a, rt.2/rw.4, tegal parang, kota jakarta selatan",ChIJsTilthjzaS4RGCWgA7NcDMM,0
warteg ridho ilahi,5,1,-6.2545199,106.8336721,"jl. duren tiga selatan iv a no.1-103, rt.4/rw.1, duren tiga, kota jakarta selatan",ChIJ98fL6MfzaS4REOzy0_b65s4,0
warteg subsidi,4.8,5,-6.2521157,106.8349458,"jl. mampang prpt. xv b no.12, rt.12/rw.5, duren tiga, kota jakarta selatan",ChIJy8cM5DHzaS4RCABzl8GnDHE,0
warteg barokah,4,1,-6.2434052,106.835417,"jl. pancoran barat xic, rt.5/rw.3, pancoran, kota jakarta selatan",ChIJM-bbHcTzaS4Rd_xzhiQUmbw,0
