nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg bahari,4.3,438,-6.2516782,106.8505178,"jl. pengadegan selatan no.12, rt.3/rw.5, pengadegan, kota jakarta selatan",ChIJIV4Ig7HzaS4RAOHhKF4zxeE,0.017739600000000518
warteg jayabahari,3.0,1,-6.249255799999999,106.8585973,"jl. pengadegan timur raya no.13, rt.3/rw.2, pengadegan, kota jakarta selatan",ChIJFai7Ka_zaS4R8ZJBl48vVJs,0.02339669999999483
warteg,0.0,0,-6.251912799999999,106.84946940000002,"jl. h. mahmud raya, rt.4/rw.4, kalibata, kota jakarta selatan",ChIJp2isKTbzaS4RZPwI0GYl890,0.016925799999997437
warteg marga sari,0.0,0,-6.2172260999999995,106.8615668,"jl. bukit duri utara no.15, rt.3/rw.1, bukit duri, kota jakarta selatan",ChIJ6T_gjIDzaS4R6hjykiXOj44,0.0
warteg wb,4.8,4,-6.2232997,106.8589517,"jl. bukit duri tanjakan no.2, rt.12/rw.12, bukit duri, kota jakarta selatan",ChIJvVCteYTzaS4RrEMwee9i2M8,0.0
warteg ariana,4.0,5,-6.219337899999998,106.859052,"jl. bukit duri tanjakan no.7, rt.7/rw.12, bukit duri, kota jakarta selatan",ChIJLQmOKYHzaS4RgIsV58ufgPA,0.0
warteg al fatih 24 jam,4.7,3,-6.2166938,106.82846940000002,"jalan anggrek 3 no.43rt.017/rw.7 kuningan, jl. kuningan barat raya no.17, rt.16/rw.7, kuningan, karet kuningan, kota jakarta selatan",ChIJi16uPbjzaS4R4LOhLUHbXTk,0.0
warteg pojok fera,5.0,1,-6.224065,106.8308632,"jl. pedurenan masjid 2, rt.1/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJzUDp3T7zaS4RobNodeXrAnQ,0.0
warteg ayam bakar,0.0,0,-6.2172015,106.83664350000001,"pasar lokbin muria dalam, rt.16/rw.05, menteng atas, kota jakarta selatan",ChIJG0WNihbzaS4RyHjkvqeb7_A,0.0
warteg latifah,4.5,87,-6.2479930999999995,106.8283968,"jl. mampang prapatan viii, rt.2/rw.2, tegal parang, kota jakarta selatan",ChIJ3ROwC9DzaS4Rtjta9p9Pkrk,0.0
warteg baru,5.0,2,-6.248542700000001,106.83468789999999,"jl. pancoran barat viii, rt.7/rw.4, tegal parang, kota jakarta selatan",ChIJEfLbRc_zaS4RLjxpfPB4ZRg,0.0
warteg zakaria,0.0,0,-6.258705600000001,106.83778319999999,"jl. duren tiga selatan no.67, rt.8/rw.3, duren tiga, kota jakarta selatan",ChIJEdU31onzaS4R3-9pMWJZO68,0.0
warteg bercahaya,4.4,5,-6.258806,106.835951,"jl. duren tiga selatan, rt.15/rw.2, duren tiga, kota jakarta selatan",ChIJr-4DwjnzaS4RqpDIg1cSgx8,0.0
warteg aji,3.9,14,-6.2590796,106.84362709999999,"jl. kalibata timur i gg. rukun no.2, rt.1/rw.8, kalibata, kota jakarta selatan",ChIJJ6716EryaS4RanjpCv2gLg8,0.0
warteg family xii,5.0,1,-6.258811,106.835822,"jl. duren tiga selatan, rt.9/rw.2, duren tiga, dki jakarta",ChIJH8VAoTTyaS4RAyniWwYEJqs,0.0
dapur warteg putra jaya,3.8,10,-6.2586857,106.8368179,"jl. gajah mungkur, rt.11/rw.3, duren tiga, jakarta",ChIJMak7vzTyaS4RL7jm4GLN5ho,0.0
warteg subsidi,4.7,10,-6.258696700000001,106.8417007,"jl. duren tiga selatan no.37, rt.1/rw.2, kalibata, kota jakarta selatan",ChIJp7MTo4XzaS4R9aub3jE0gd4,0.0
warteg mitra bahari duren tiga,4.9,17,-6.253705999999998,106.83536299999999,"jl. duren tiga raya no.134, rt.7/rw.7, duren tiga, jakarra selatan",ChIJhSxF7zrzaS4RXFEImHMjaaw,0.0
warteg saniki,4.6,27,-6.250999699999999,106.8350007,"jl. mampang prapatan xiv no.100, rt.8/rw.4, tegal parang, kota jakarta selatan",ChIJuZfW887zaS4RsTUoBdsp-Ko,0.0
warteg buncit iv,4.4,16,-6.2480077000000005,106.83215590000002,"jl. tegal parang selatan i no.3a, rt.2/rw.4, tegal parang, kota jakarta selatan",ChIJsTilthjzaS4RGCWgA7NcDMM,0.0
warteg ridho ilahi,5.0,1,-6.2545199,106.83367209999999,"jl. duren tiga selatan iv a no.1-103, rt.4/rw.1, duren tiga, kota jakarta selatan",ChIJ98fL6MfzaS4REOzy0_b65s4,0.0
warteg subsidi,4.8,5,-6.2521157,106.83494579999999,"jl. mampang prpt. xv b no.12, rt.12/rw.5, duren tiga, kota jakarta selatan",ChIJy8cM5DHzaS4RCABzl8GnDHE,0.0
warteg podomoro mampang prapatan xv,4.2,5,-6.2519770999999995,106.8339721,"jl. mampang prapatan xv no.8, rt.10/rw.5, duren tiga, kota jakarta selatan",ChIJB1N2CQ_zaS4RCs2nktSY38g,0.0
warteg latifah,3.9,61,-6.245214499999999,106.8308268,"jl. mampang prapatan iv, rt.15/rw.4, mampang prpt., kota jakarta selatan",ChIJTXvhJ8XzaS4RHQma6XlEioI,0.0
