nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg warmo,4.1,3319,-6.230143,106.8523994,"jl. tebet timur raya no.1d, rt.8/rw.10, tebet tim., kota jakarta selatan",ChIJez1HhZDzaS4RDzWl0w4Y-5E,0.018220799999991932
warteg,3,1,-6.2187167,106.8612924,"jl. bukit duri no.30, rt.10/rw.6, bukit duri, kota jakarta selatan",ChIJjxOZ13_zaS4R6gMhRnEeuG0,0.015687499999992305
warteg mulya,4.9,10,-6.22113,106.846073,"jl. dr. saharjo, rt.4/rw.5, menteng atas, kota jakarta selatan",ChIJ1w_j8ovzaS4RWFhXncsmwEs,0.014261400000002311
warteg bahari.in,5,2,-6.220841099999999,106.8498442,"jl albarkah no 30 rt 06/rw 03 kel, rt.6/rw.3, manggarai sel., kota jakarta selatan",ChIJS3btx1DzaS4RgweaHWbNokg,0.010201299999998525
warteg barokah,4.3,10,-6.2300781,106.8526646,"jl. tebet timur raya no.32d, rt.9/rw.10, tebet tim., kota jakarta selatan",ChIJB2JJXLzzaS4Rl38TLDDvUEk,0.018421099999993196
warteg berkah,4.1,13,-6.222289099999999,106.8446667,"jl. menteng pulo 1 no.14, rt.15/rw.5, menteng dalam, kota jakarta selatan",ChIJHQAA84zzaS4RdP7KBSg8FSc,0.016826800000001363
warteg bahari,4.6,5,-6.2273648,106.8580821,"3, jl. tebet timur dalam ii no.1, rt.1/rw.3, tebet tim., kota jakarta selatan",ChIJszqGRJvzaS4RfYVqRQsB5AE,0.021125300000000458
warteg putri,3.3,3,-6.2191892,106.852938,"jl. bukit duri selatan no.5, rt.9/rw.3, bukit duri, kota jakarta selatan",ChIJRXpbgYjzaS4RV1hv9D-ZtxA,0.00780559999999042
warteg ibu mukrim,4.5,25,-6.228701699999999,106.8517258,"qvc2+gm9, rt.15/rw.1, west tebet, south jakarta city",ChIJqViFXZDzaS4RYuxEuo2HLgE,0.01618030000000914
warteg bahari mas bambang,5,2,-6.2131298,106.844983,"jl. padang panjang no.8, rt.5/rw.8, ps. manggis, kota jakarta selatan",ChIJC52MDHX0aS4RkWm1iqLJzhE,0.007351200000007552
warteg baru,5,2,-6.2111319,106.8400303,"jl. menteng bata, rt.15/rw.7, ps. manggis, kota jakarta selatan",ChIJmWORogz0aS4R5_U6TpLzv8E,0.013159400000009036
warteg jaya bahari,4.3,71,-6.229081799999999,106.8589533,"qvc5+9h8, rt.4/rw.5, kebon baru, south jakarta city",ChIJv7OqgZvzaS4RReSkChFTU5c,0.023713499999990617
wahyoo warteg bahari,4.6,9,-6.2094722,106.8503081,"jl. manggarai utara 2 no.17, rt.15/rw.4, manggarai, kota jakarta selatan",ChIJKxIy4nD0aS4R6b7QncHtuA4,0.004541299999996973
warteg barokah,4.8,12,-6.219698999999999,106.838137,"jl. menteng atas barat, rt.5/rw.5, menteng atas, dki jakarta",ChIJm5kBVPTzaS4RRZCxr82lqFA,0.02076640000000296
warteg 21,4.8,19,-6.2211618,106.8448696,"jl. pendawa no.2, rt.3/rw.5, menteng dalam, kota jakarta selatan",ChIJN8xhrefzaS4ReYI0FQkdFi0,0.015496600000011185
warteg maun jaya,4.8,6,-6.2185941,106.8452144,"jalan dokter saharjo, rt.1/rw.4, manggarai sel., kota jakarta selatan",ChIJY7fqT4rzaS4RpXeI2d90cpo,0.012584100000003318
warteg murni,4.5,2,-6.208837399999999,106.8421317,"jl. menteng wadas timur, rt.9/rw.2, ps. manggis, kota jakarta selatan",ChIJCf792XL0aS4RZMOSt7Da3DI,0.01335250000000876
warteg takyat,4.3,108,-6.2063726,106.838335,"jl. guntur no.2, rt.8/rw.1, guntur, kota jakarta selatan",ChIJaUyE_iL1aS4RoZV9tGTz6cA,0.01961400000000335
warteg gaul,4.5,6,-6.229657899999999,106.8582529,"jl. tebet timur dalam ii, rt.6/rw.3, tebet tim., kota jakarta selatan",ChIJYYaxmpvzaS4Riyrd5B0_j3M,0.023589199999991983
warteg febri,4.1,9,-6.2229266,106.8449343,"jl. pendawa, rt.14/rw.5, menteng dalam, kota jakarta selatan",ChIJcwt1Z4zzaS4Ra-Zsp1fdunY,0.017196700000001286
warteg bu ipah,5,2,-6.230258699999999,106.8523018,"no., jl. tebet raya no.15, rt.8/rw.10, tebet tim., kota jakarta selatan",ChIJK3v_lpDzaS4R4vRnQ8m4nUI,0.018238900000001834
warteg bahari pakde sukram,4.9,30,-6.220428,106.8482647,"jl albarkah no 18a rt 13/rw 04 kel, rt.13/rw.4, manggarai sel., kota jakarta selatan",ChIJF8RTXUPzaS4ROzbGmkZix7s,0.01136770000000542
